env,config,seed,episode,steps_in_episode,reward_env,success
Foundational,Reward Machine DQN,6,1,15,-1.5000000000000002,False
Foundational,Reward Machine DQN,6,2,15,-1.5000000000000002,False
Foundational,Reward Machine DQN,6,3,15,-1.5000000000000002,False
Foundational,Reward Machine DQN,6,4,15,-1.5000000000000002,False
Foundational,Reward Machine DQN,6,5,15,-1.5000000000000002,False
Foundational,Reward Machine DQN,6,6,15,-1.5000000000000002,False
Foundational,Reward Machine DQN,6,7,15,-1.5000000000000002,False
Foundational,Reward Machine DQN,6,8,15,-21.5,False
Foundational,Reward Machine DQN,6,9,15,-1.5000000000000002,False
Foundational,Reward Machine DQN,6,10,15,-1.5000000000000002,False
Foundational,Reward Machine DQN,6,11,15,-1.5000000000000002,False
Foundational,Reward Machine DQN,6,12,15,-1.5000000000000002,False
Foundational,Reward Machine DQN,6,13,15,-1.5000000000000002,False
Foundational,Reward Machine DQN,6,14,15,-1.5000000000000002,False
Foundational,Reward Machine DQN,6,15,15,8.5,False
Foundational,Reward Machine DQN,6,16,15,-1.5000000000000002,False
Foundational,Reward Machine DQN,6,17,15,-1.5000000000000002,False
Foundational,Reward Machine DQN,6,18,15,-1.5000000000000002,False
Foundational,Reward Machine DQN,6,19,15,-1.5000000000000002,False
Foundational,Reward Machine DQN,6,20,15,-1.5000000000000002,False
Foundational,Reward Machine DQN,6,21,15,8.500000000000002,False
Foundational,Reward Machine DQN,6,22,15,-1.5000000000000002,False
Foundational,Reward Machine DQN,6,23,15,8.500000000000002,False
Foundational,Reward Machine DQN,6,24,15,-1.5000000000000002,False
Foundational,Reward Machine DQN,6,25,15,-1.5000000000000002,False
Foundational,Reward Machine DQN,6,26,15,-1.5000000000000002,False
Foundational,Reward Machine DQN,6,27,15,8.500000000000004,False
Foundational,Reward Machine DQN,6,28,15,-1.5000000000000002,False
Foundational,Reward Machine DQN,6,29,15,8.500000000000004,False
Foundational,Reward Machine DQN,6,30,15,8.500000000000004,False
Foundational,Reward Machine DQN,6,31,15,8.500000000000004,False
Foundational,Reward Machine DQN,6,32,15,8.500000000000002,False
Foundational,Reward Machine DQN,6,33,15,8.500000000000004,False
Foundational,Reward Machine DQN,6,34,15,8.500000000000005,False
Foundational,Reward Machine DQN,6,35,15,8.500000000000004,False
Foundational,Reward Machine DQN,6,36,15,8.500000000000005,False
Foundational,Reward Machine DQN,6,37,15,8.500000000000005,False
Foundational,Reward Machine DQN,6,38,15,8.500000000000005,False
Foundational,Reward Machine DQN,6,39,15,8.500000000000005,False
Foundational,Reward Machine DQN,6,40,15,8.500000000000005,False
Foundational,Reward Machine DQN,6,41,15,8.500000000000002,False
Foundational,Reward Machine DQN,6,42,15,8.500000000000005,False
Foundational,Reward Machine DQN,6,43,15,8.500000000000005,False
Foundational,Reward Machine DQN,6,44,15,8.500000000000005,False
Foundational,Reward Machine DQN,6,45,15,8.500000000000005,False
Foundational,Reward Machine DQN,6,46,15,8.500000000000005,False
Foundational,Reward Machine DQN,6,47,15,8.500000000000005,False
Foundational,Reward Machine DQN,6,48,15,8.500000000000005,False
Foundational,Reward Machine DQN,6,49,15,8.500000000000005,False
Foundational,Reward Machine DQN,6,50,15,8.500000000000004,False
Foundational,Reward Machine DQN,6,51,15,8.500000000000005,False
Foundational,Reward Machine DQN,6,52,15,8.500000000000005,False
Foundational,Reward Machine DQN,6,53,15,8.500000000000005,False
Foundational,Reward Machine DQN,6,54,15,-1.4999999999999964,False
Foundational,Reward Machine DQN,6,55,15,8.500000000000005,False
Foundational,Reward Machine DQN,6,56,15,8.500000000000004,False
Foundational,Reward Machine DQN,6,57,15,8.500000000000005,False
Foundational,Reward Machine DQN,6,58,15,8.500000000000004,False
Foundational,Reward Machine DQN,6,59,15,8.500000000000005,False
Foundational,Reward Machine DQN,6,60,15,8.500000000000005,False
Foundational,Reward Machine DQN,6,61,15,8.500000000000004,False
Foundational,Reward Machine DQN,6,62,15,8.500000000000005,False
Foundational,Reward Machine DQN,6,63,15,8.500000000000004,False
Foundational,Reward Machine DQN,6,64,15,8.500000000000005,False
Foundational,Reward Machine DQN,6,65,9,19.1,True
Foundational,Reward Machine DQN,6,66,9,19.1,True
Foundational,Reward Machine DQN,6,67,15,8.500000000000005,False
Foundational,Reward Machine DQN,6,68,15,8.500000000000004,False
Foundational,Reward Machine DQN,6,69,7,19.300000000000004,True
Foundational,Reward Machine DQN,6,70,15,8.500000000000005,False
Foundational,Reward Machine DQN,6,71,15,8.500000000000005,False
Foundational,Reward Machine DQN,6,72,7,19.3,True
Foundational,Reward Machine DQN,6,73,7,19.3,True
Foundational,Reward Machine DQN,6,74,6,19.400000000000002,True
Foundational,Reward Machine DQN,6,75,6,19.400000000000002,True
Foundational,Reward Machine DQN,6,76,8,19.200000000000003,True
Foundational,Reward Machine DQN,6,77,6,19.400000000000002,True
Foundational,Reward Machine DQN,6,78,15,8.500000000000005,False
Foundational,Reward Machine DQN,6,79,6,19.400000000000002,True
Foundational,Reward Machine DQN,6,80,6,19.400000000000002,True
Foundational,Reward Machine DQN,6,81,6,19.400000000000002,True
Foundational,Reward Machine DQN,6,82,7,19.3,True
Foundational,Reward Machine DQN,6,83,15,18.500000000000004,True
Foundational,Reward Machine DQN,6,84,7,19.300000000000004,True
Foundational,Reward Machine DQN,6,85,8,19.200000000000003,True
Foundational,Reward Machine DQN,6,86,9,19.1,True
Foundational,Reward Machine DQN,6,87,14,18.6,True
Foundational,Reward Machine DQN,6,88,6,19.400000000000002,True
Foundational,Reward Machine DQN,6,89,15,8.500000000000004,False
Foundational,Reward Machine DQN,6,90,6,19.400000000000002,True
Foundational,Reward Machine DQN,6,91,6,19.400000000000002,True
Foundational,Reward Machine DQN,6,92,8,19.200000000000003,True
Foundational,Reward Machine DQN,6,93,7,19.3,True
Foundational,Reward Machine DQN,6,94,6,19.400000000000002,True
Foundational,Reward Machine DQN,6,95,7,19.300000000000004,True
Foundational,Reward Machine DQN,6,96,7,19.3,True
Foundational,Reward Machine DQN,6,97,7,19.300000000000004,True
Foundational,Reward Machine DQN,6,98,6,19.400000000000002,True
Foundational,Reward Machine DQN,6,99,6,19.400000000000002,True
Foundational,Reward Machine DQN,6,100,10,19.0,True
Foundational,Reward Machine DQN,6,101,6,19.400000000000002,True
Foundational,Reward Machine DQN,6,102,8,19.200000000000003,True
Foundational,Reward Machine DQN,6,103,7,19.3,True
Foundational,Reward Machine DQN,6,104,6,19.400000000000002,True
Foundational,Reward Machine DQN,6,105,7,19.3,True
Foundational,Reward Machine DQN,6,106,6,19.400000000000002,True
Foundational,Reward Machine DQN,6,107,9,19.1,True
Foundational,Reward Machine DQN,6,108,6,19.400000000000002,True
Foundational,Reward Machine DQN,6,109,6,19.400000000000002,True
Foundational,Reward Machine DQN,6,110,6,19.400000000000002,True
Foundational,Reward Machine DQN,6,111,6,19.400000000000002,True
Foundational,Reward Machine DQN,6,112,6,19.400000000000002,True
Foundational,Reward Machine DQN,6,113,7,19.300000000000004,True
Foundational,Reward Machine DQN,6,114,7,19.3,True
Foundational,Reward Machine DQN,6,115,7,19.300000000000004,True
Foundational,Reward Machine DQN,6,116,7,19.300000000000004,True
Foundational,Reward Machine DQN,6,117,7,19.3,True
Foundational,Reward Machine DQN,6,118,15,8.500000000000005,False
Foundational,Reward Machine DQN,6,119,7,19.300000000000004,True
Foundational,Reward Machine DQN,6,120,6,19.400000000000002,True
Foundational,Reward Machine DQN,6,121,6,19.400000000000002,True
Foundational,Reward Machine DQN,6,122,7,19.3,True
Foundational,Reward Machine DQN,6,123,7,19.300000000000004,True
Foundational,Reward Machine DQN,6,124,7,19.3,True
Foundational,Reward Machine DQN,6,125,6,19.400000000000002,True
Foundational,Reward Machine DQN,6,126,6,19.400000000000002,True
Foundational,Reward Machine DQN,6,127,7,19.300000000000004,True
Foundational,Reward Machine DQN,6,128,8,19.200000000000003,True
Foundational,Reward Machine DQN,6,129,8,19.200000000000003,True
Foundational,Reward Machine DQN,6,130,6,19.400000000000002,True
Foundational,Reward Machine DQN,6,131,8,19.200000000000003,True
Foundational,Reward Machine DQN,6,132,6,19.400000000000002,True
Foundational,Reward Machine DQN,6,133,6,19.400000000000002,True
Foundational,Reward Machine DQN,6,134,6,19.400000000000002,True
Foundational,Reward Machine DQN,6,135,6,19.400000000000002,True
Foundational,Reward Machine DQN,6,136,7,19.300000000000004,True
Foundational,Reward Machine DQN,6,137,8,19.200000000000003,True
Foundational,Reward Machine DQN,6,138,6,19.400000000000002,True
Foundational,Reward Machine DQN,6,139,6,19.400000000000002,True
Foundational,Reward Machine DQN,6,140,6,19.400000000000002,True
Foundational,Reward Machine DQN,6,141,6,19.400000000000002,True
Foundational,Reward Machine DQN,6,142,7,19.300000000000004,True
