episode,avg_reward,avg_success,avg_steps,cnt_seeds,smoothed_reward,smoothed_success,smoothed_steps
39,-3.589999999999997,0.9,25.9,10,-5.006999999999965,0.8400000000000001,25.07
40,-11.46999999999989,0.9,24.7,10,-4.921999999999977,0.86,24.22
41,-2.479999999999996,0.8,24.8,10,-5.044999999999977,0.8700000000000001,24.449999999999996
42,-0.6899999999999977,0.9,26.9,10,-4.949999999999976,0.86,24.5
43,7.360000000000011,0.8,26.4,10,-3.7519999999999856,0.8700000000000001,24.52
44,-8.830000000000018,1.0,18.3,10,-3.6559999999999753,0.8700000000000001,24.56
45,-1.1899999999999986,0.9,21.9,10,-3.1959999999999775,0.86,24.96
46,-8.38999999999998,0.8,23.9,10,-3.1879999999999855,0.8699999999999999,24.88
47,1.3299999999999996,0.9,26.7,10,-3.604999999999977,0.89,24.05
48,-8.60999999999989,0.8,26.1,10,-3.0849999999999755,0.89,23.85
49,1.0099999999999851,0.8,29.9,10,-3.3519999999999763,0.89,23.52
50,-11.389999999999976,1.0,23.9,10,-3.048999999999977,0.8800000000000001,24.49
51,-6.649999999999908,1.0,16.5,10,-4.40099999999997,0.8700000000000001,25.009999999999998
52,4.510000000000014,0.9,24.9,10,-3.1059999999999723,0.86,25.06
53,4.690000000000002,0.8,23.1,10,-3.5869999999999713,0.86,24.87
54,-5.8000000000000185,0.9,28.0,10,-3.315999999999981,0.85,25.16
55,-14.709999999999928,0.8,27.1,10,-3.8429999999999795,0.8699999999999999,24.43
56,4.559999999999993,0.7,24.4,10,-2.453999999999983,0.85,24.54
57,-3.479999999999989,0.9,24.8,10,-3.075999999999988,0.82,25.76
58,-5.899999999999987,0.7,29.0,10,-3.0489999999999897,0.8099999999999999,25.490000000000002
59,-4.26,1.0,22.6,10,-4.8689999999999785,0.8300000000000001,24.69
60,2.499999999999991,0.8,25.0,10,-3.0129999999999795,0.8400000000000001,24.130000000000003
61,-12.869999999999958,0.7,28.7,10,-1.4549999999999867,0.85,23.55
62,4.780000000000003,0.8,22.2,10,-0.7179999999999872,0.86,23.18
63,-13.509999999999891,1.0,15.1,10,-0.25999999999998824,0.85,23.6
64,12.759999999999971,1.0,22.4,10,0.9450000000000077,0.8800000000000001,22.55
65,0.8699999999999999,0.9,21.3,10,-0.6839999999999884,0.8400000000000001,23.84
66,11.929999999999989,0.8,20.7,10,-2.2889999999999775,0.85,23.89
67,1.1000000000000003,0.8,29.0,10,-0.8029999999999806,0.86,23.03
68,6.149999999999972,1.0,18.5,10,-1.1709999999999805,0.8699999999999999,22.71
69,-20.54999999999996,0.6,35.5,10,1.1990000000000078,0.86,23.009999999999998
70,-13.549999999999898,0.9,25.5,10,-0.8119999999999792,0.85,23.119999999999997
71,1.9900000000000098,0.8,20.1,10,-1.5429999999999768,0.85,23.43
72,1.1000000000000019,0.9,19.0,10,-2.717999999999976,0.86,23.18
73,10.189999999999992,0.9,18.1,10,-1.7719999999999771,0.8699999999999999,22.72
74,-7.3499999999998975,0.9,23.5,10,-1.541999999999973,0.86,22.419999999999998
75,-6.439999999999979,0.9,24.4,10,0.031000000000033445,0.89,20.689999999999998
76,0.18000000000000077,0.9,18.2,10,2.735000000000022,0.9,19.65
77,10.559999999999988,0.9,24.4,10,3.0400000000000182,0.9099999999999999,19.6
78,8.45000000000001,0.9,15.5,10,2.977000000000017,0.9200000000000002,19.23
79,-4.819999999999897,0.9,18.2,10,0.6600000000000262,0.9200000000000002,19.4
80,13.48999999999999,1.0,15.1,10,2.6700000000000137,0.9099999999999999,19.3
81,5.0399999999999725,0.9,19.6,10,3.757000000000012,0.9,19.43
82,0.46999999999999104,1.0,15.3,10,3.7130000000000107,0.9,19.87
