episode,avg_reward,avg_success,avg_steps,cnt_seeds,smoothed_reward,smoothed_success,smoothed_steps
145,0.6900000000000119,1.0,13.1,10,-6.105999999999963,0.95,18.06
146,-7.009999999999981,1.0,20.1,10,-7.680999999999953,0.9199999999999999,19.810000000000002
147,-11.839999999999922,1.0,18.4,10,-6.8099999999999525,0.9099999999999999,20.1
148,-14.039999999999889,0.8,20.4,10,-5.438999999999963,0.9099999999999999,20.39
149,-5.950000000000008,0.9,19.5,10,-7.889999999999953,0.9,20.9
150,-31.169999999999796,0.7,31.7,10,-7.027999999999953,0.9,20.28
151,3.9799999999999995,0.9,20.2,10,-6.257999999999956,0.8899999999999999,20.580000000000002
152,5.74999999999997,0.9,22.5,10,-6.919999999999956,0.89,20.2
153,-20.019999999999904,0.9,20.2,10,-4.208999999999966,0.8800000000000001,20.09
154,9.329999999999991,0.9,16.7,10,-2.662999999999976,0.9,19.630000000000003
155,8.38999999999999,0.9,16.1,10,-1.8479999999999754,0.8899999999999999,19.48
156,-13.629999999999999,1.0,16.3,10,0.8180000000000124,0.9,18.82
157,15.269999999999982,0.9,17.3,10,0.03500000000002026,0.9,18.65
158,1.4200000000000201,1.0,15.8,10,-3.432999999999967,0.9,18.330000000000002
159,2.1999999999999913,0.8,18.0,10,-0.35099999999997633,0.9100000000000001,17.51
160,-4.509999999999917,0.8,25.1,10,-2.8809999999999656,0.9,17.81
161,-3.849999999999921,0.9,18.5,10,-3.5569999999999644,0.9099999999999999,17.57
162,-28.9299999999999,0.9,19.3,10,-3.586999999999956,0.89,17.869999999999997
163,10.8,1.0,12.0,10,-4.234999999999955,0.9,17.35
164,-15.9699999999999,0.8,19.7,10,-5.8799999999999555,0.9,17.8
165,1.6300000000000008,1.0,13.7,10,-6.7539999999999525,0.9100000000000001,17.54
166,-13.929999999999911,0.8,19.3,10,-7.822999999999953,0.9199999999999999,17.23
167,8.789999999999988,1.0,12.1,10,-8.397999999999952,0.93,16.98
168,-15.029999999999982,1.0,20.3,10,-5.407999999999962,0.9399999999999998,17.08
169,-6.53999999999998,0.9,15.4,10,-5.759999999999964,0.9199999999999999,17.6
170,-15.199999999999928,0.9,22.0,10,-5.630999999999966,0.93,17.31
171,-9.599999999999913,1.0,16.0,10,-7.643999999999946,0.93,17.439999999999998
172,0.9700000000000009,1.0,20.3,10,-8.512999999999952,0.95,17.130000000000003
173,7.279999999999982,0.8,17.2,10,-9.100999999999951,0.95,18.01
174,-14.679999999999913,0.9,16.8,10,-7.733999999999952,0.9400000000000001,17.34
175,-18.499999999999797,1.0,15.0,10,-6.9919999999999565,0.9400000000000001,17.919999999999998
176,-22.61999999999999,1.0,16.2,10,-5.201999999999966,0.95,17.02
177,2.91000000000001,1.0,20.9,10,-3.2469999999999763,0.95,16.47
178,-1.3599999999999892,0.9,13.6,10,-4.208999999999967,0.9399999999999998,16.09
179,0.8799999999999806,0.9,21.2,10,-4.336999999999965,0.96,15.37
180,2.69999999999997,1.0,13.0,10,-3.0799999999999725,0.96,15.8
181,9.949999999999982,1.0,10.5,10,-1.480999999999992,0.95,15.809999999999999
182,-8.649999999999899,0.9,16.5,10,-2.9739999999999815,0.95,15.739999999999998
183,6.000000000000001,1.0,10.0,10,-3.293999999999982,0.95,14.940000000000001
184,-2.1099999999999945,0.9,21.1,10,-4.330999999999976,0.96,15.309999999999999
185,-2.5099999999999896,0.9,15.1,10,-5.7679999999999625,0.97,14.680000000000001
186,-37.54999999999988,1.0,15.5,10,-8.121999999999957,0.96,15.219999999999999
187,-0.290000000000002,1.0,12.9,10,-10.087999999999948,0.96,15.88
188,-11.729999999999919,1.0,17.3,10,-10.132999999999956,0.9700000000000001,16.330000000000002
189,-13.489999999999881,1.0,14.9,10,-10.079999999999956,0.9600000000000002,16.8
190,-20.83999999999999,0.9,18.4,10,-11.610999999999944,0.9700000000000001,16.110000000000003
191,-9.709999999999912,1.0,17.1,10,-10.490999999999946,0.9800000000000001,15.910000000000002
192,-9.09999999999998,1.0,21.0,10,-9.77699999999994,0.9800000000000001,15.770000000000001
