env,config,AvgReward,StdReward,SuccessRate,AvgSteps,StdSteps,CountEpisodes
Advanced,Baseline,-7.842599999999962,36.31217212760003,0.7517,26.396,17.169649492239767,10000
Advanced,Reward Machine,7.147630000000005,26.218463020616113,0.9463,16.6037,12.15399597958742,10000
Advanced,Shaped,-3.7456999999999665,38.37428933697941,0.9475,15.867,12.054959278418153,10000
Foundational,Baseline,12.12545,8.07495137554144,0.4975,11.0455,4.108877119797179,2000
Foundational,Reward Machine,12.867300000000002,8.427928909456428,0.5405,10.577,4.19808086409382,2000
Foundational,Shaped,15.904549999999999,6.753292365682698,0.7615,8.6545,3.6868585832801526,2000
