episode,avg_reward,avg_success,avg_steps,cnt_seeds,smoothed_reward,smoothed_success,smoothed_steps
102,16.03,0.7,9.7,10,15.220000000000002,0.66,9.8
103,17.05,0.8,9.5,10,15.532000000000002,0.6799999999999999,9.68
104,15.05,0.7,9.5,10,15.544000000000002,0.69,9.559999999999999
105,15.02,0.6,9.8,10,15.859,0.71,9.41
106,14.969999999999999,0.6,10.3,10,15.855,0.7,9.45
107,16.03,0.7,9.7,10,16.182,0.73,9.180000000000001
108,15.060000000000002,0.7,9.4,10,16.395999999999997,0.75,9.040000000000001
109,18.25,0.9,7.5,10,16.398000000000003,0.75,9.02
110,16.1,0.7,9.0,10,16.615000000000002,0.77,8.85
111,18.259999999999998,0.9,7.4,10,16.939,0.8,8.610000000000001
112,18.169999999999998,0.9,8.3,10,17.058999999999997,0.82,8.41
113,17.07,0.8,9.3,10,17.282999999999998,0.8400000000000001,8.17
114,17.22,0.9,7.8,10,17.491999999999997,0.85,8.08
115,18.259999999999998,0.9,7.4,10,17.490999999999996,0.85,8.09
116,16.169999999999998,0.8,8.3,10,17.707,0.8699999999999999,7.93
117,18.27,0.9,7.3,10,17.601999999999997,0.86,7.980000000000001
118,17.15,0.8,8.5,10,17.493999999999996,0.85,8.059999999999999
119,18.240000000000002,0.9,7.6,10,17.608999999999998,0.86,7.909999999999999
120,18.259999999999998,0.9,7.4,10,17.714999999999996,0.86,7.85
121,17.21,0.8,7.9,10,17.716,0.8600000000000001,7.839999999999999
122,17.09,0.8,9.1,10,17.818,0.86,7.82
123,18.22,0.9,7.8,10,17.82,0.86,7.8
124,18.279999999999998,0.9,7.2,10,17.926,0.8699999999999999,7.74
125,18.27,0.9,7.3,10,17.924,0.8700000000000001,7.76
126,17.19,0.8,8.1,10,17.716,0.86,7.840000000000001
127,18.29,0.9,7.1,10,17.601999999999997,0.85,7.9799999999999995
128,18.21,0.9,7.9,10,17.716,0.86,7.840000000000001
129,18.22,0.9,7.8,10,17.719,0.86,7.8100000000000005
130,16.18,0.8,8.2,10,17.717000000000002,0.86,7.83
131,16.07,0.7,9.3,10,17.609,0.85,7.910000000000001
132,18.23,0.9,7.7,10,17.716,0.86,7.839999999999999
133,18.25,0.9,7.5,10,17.708000000000002,0.86,7.92
134,18.259999999999998,0.9,7.4,10,17.713,0.86,7.87
135,17.19,0.8,8.1,10,17.711,0.86,7.890000000000001
136,18.259999999999998,0.9,7.4,10,17.697,0.85,8.03
137,18.21,0.9,7.9,10,17.81,0.86,7.9
138,18.259999999999998,0.9,7.4,10,17.811,0.86,7.889999999999999
139,18.2,0.9,8.0,10,17.811,0.86,7.889999999999999
140,16.04,0.7,9.6,10,17.802,0.86,7.980000000000001
141,17.2,0.8,8.0,10,17.811,0.8700000000000001,7.889999999999999
142,18.240000000000002,0.9,7.6,10,17.81,0.8699999999999999,7.9
143,18.25,0.9,7.5,10,17.601999999999997,0.86,7.9799999999999995
144,18.169999999999998,0.9,8.3,10,17.603,0.86,7.969999999999999
145,17.279999999999998,0.9,7.2,10,17.608,0.86,7.919999999999999
146,18.25,0.9,7.5,10,17.829,0.8800000000000001,7.709999999999999
147,16.130000000000003,0.8,8.7,10,17.933,0.89,7.67
148,18.27,0.9,7.3,10,17.933,0.89,7.67
149,18.25,0.9,7.5,10,17.933,0.89,7.67
150,18.25,0.9,7.5,10,17.830000000000002,0.8800000000000001,7.7
151,18.24,0.9,7.6,10,17.924,0.8800000000000001,7.760000000000001
152,18.240000000000002,0.9,7.6,10,17.926,0.8800000000000001,7.74
153,18.25,0.9,7.5,10,18.14,0.8899999999999999,7.6
154,17.139999999999997,0.8,8.6,10,18.139999999999997,0.89,7.6
155,18.22,0.9,7.8,10,18.035999999999998,0.8799999999999999,7.640000000000001
156,18.27,0.9,7.3,10,18.037,0.8800000000000001,7.630000000000001
157,18.27,0.9,7.3,10,17.935,0.8800000000000001,7.65
158,18.27,0.9,7.3,10,17.933,0.8800000000000001,7.67
159,17.21,0.8,7.9,10,17.936,0.8800000000000001,7.640000000000001
160,18.259999999999998,0.9,7.4,10,18.041999999999998,0.8899999999999999,7.580000000000001
161,17.220000000000002,0.9,7.8,10,18.044,0.89,7.56
162,18.22,0.9,7.8,10,18.043,0.89,7.57
163,18.279999999999998,0.9,7.2,10,18.044999999999998,0.8899999999999999,7.55
